Custom Table Report,,,,,,,UNOFFICIAL RESULTS
State & Federal Primary and County General,,,,,,,
"August 6, 2026",,,,,,,Hamilton
,,STATISTICS,,,,,
,,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Republican,Ballots Cast - Democratic,Ballots Cast - General,
NORTHWOODS,273,139,187,4,531,13,512,26,521,14
OOLTEWAH,455,110,216,10,753,8,731,18,746,6
OOLTEWAH GEORGETOWN,243,85,152,4,457,3,447,7,447,3
OOLTEWAH RINGGOLD,464,139,309,3,864,12,843,22,,
PLEASANT GROVE A,363,121,241,5,677,10,647,27,676,13
PLEASANT GROVE B,18,13,15,0,45,0,43,1,43,0
POSSUM CREEK,501,161,259,6,875,12,864,22,875,14
RED BANK A,137,83,123,7,298,13,290,21,,
RED BANK B,192,102,158,2,402,6,396,15,396,7
RED BANK C,131,95,89,10,287,7,279,15,286,8
RIDGEDALE,31,23,41,2,69,8,64,13,,
RIDGESIDE,23,10,56,2,75,4,72,6,74,3
RIVERVIEW,89,34,125,6,208,22,202,26,213,17
SALE CREEK,278,166,138,3,550,5,539,12,544,6
SAVANNAH BAY,347,106,205,1,618,10,600,23,609,7
SEQUOYAH,298,108,180,2,555,11,552,11,555,6
SIGNAL MOUNTAIN A,203,102,314,13,507,27,473,45,498,27
SIGNAL MOUNTAIN B,429,168,503,19,934,43,895,61,933,31
SILVERDALE,75,42,44,1,144,8,144,8,,
SODDY DAISY A,405,142,187,6,699,7,683,19,694,10
SODDY DAISY B,353,119,140,1,577,2,560,10,573,1
,REP Governor,,,,REP United States Senate,,"REP United States House of Representatives, District 3",,"REP Tennessee Senate, District 11 District 11",
,VOTE FOR 1,,,,VOTE FOR 1,,VOTE FOR 1,,VOTE FOR 1,
,92 of 93 Precincts Reporting,,,,92 of 93 Precincts Reporting,,92 of 93 Precincts Reporting,,57 of 57 Precincts Reporting,
,Marsha Blackburn,Monty Fritts,John Rose,Write-in Totals,Bill Hagerty,Write-in Totals,Chuck Fleischmann,Write-in Totals,Bo Watson,Write-in Totals
SODDY DAISY C,258,83,121,1,430,5,419,10,430,6
ST ELMO,94,54,104,8,213,20,202,26,,
STUART HEIGHTS,225,90,198,6,464,12,434,30,455,16
SUMMIT,189,74,117,3,361,3,352,7,359,3
TYNER,156,46,83,1,264,5,265,7,,
VALLEYBROOK,544,202,379,8,"1,033",27,"1,004",40,"1,032",25
WALDEN,182,85,200,4,411,17,386,27,398,15
WESTVIEW A,126,55,80,3,249,3,242,6,,
WESTVIEW B,269,83,187,6,501,19,475,32,,
WOLFTEVER,333,108,234,4,635,14,617,27,638,9
WOODMORE,15,5,8,0,26,0,24,0,,
Collegedale Property Rights,0,0,0,0,0,0,0,0,,
Totals,"17,086","6,539","11,866",338,"32,640",790,"31,689","1,326","22,412",456
,"REP Tennessee House of Representatives, District 26 District 26",,"REP Tennessee House of Representatives, District 27 District 27",,,"REP Tennessee House of Representatives, District 28 District 28",,"REP Tennessee House of Representatives, District 29 District 29",
,VOTE FOR 1,,VOTE FOR 1,,,VOTE FOR 1,,VOTE FOR 1,
,31 of 31 Precincts Reporting,,33 of 33 Precincts Reporting,,,27 of 27 Precincts Reporting,,21 of 21 Precincts Reporting,
,Greg Martin,Write-in Totals,Tony Hullender,Michele Reneau,Write-in Totals,No Candidate Qualified,Write-in Totals,Greg Vital,Write-in Totals
AIRPORT A,,,,,,0,0,4,0
AIRPORT B,,,,,,0,2,61,1
ALTON PARK,,,,,,0,2,,
APISON B,,,,,,,,111,2
AVONDALE,0,0,,,,0,2,,
BIRCHWOOD,,,,,,,,481,1
BONNY OAKS,0,0,,,,0,11,0,0
BRAINERD,,,,,,0,0,,
BRAINERD HILLS,,,,,,0,0,62,0
BUSHTOWN,16,0,,,,0,2,,
COLLEGEDALE A,,,,,,,,188,2
COLLEGEDALE B,,,,,,,,241,0
CONCORD B,,,,,,,,189,3
COURTHOUSE,9,0,,,,0,2,,
DALEWOOD,,,,,,0,4,,
DALLAS,707,7,0,0,0,,,,
DOWNTOWN,64,2,1,1,0,0,7,,
DUPONT,463,13,,,,,,,
EAST BRAINERD B,,,,,,,,182,2
EAST CHATTANOOGA,,,,,,0,3,,
EAST LAKE,,,,,,0,4,,
EASTGATE,,,,,,0,6,,
EASTSIDE,42,3,,,,0,3,,
FAIRMOUNT,,,238,474,1,,,,
FALLING WATER A,16,0,34,64,0,,,,
FALLING WATER B,,,86,223,0,,,,
,"REP Tennessee House of Representatives, District 26 District 26",,"REP Tennessee House of Representatives, District 27 District 27",,,"REP Tennessee House of Representatives, District 28 District 28",,"REP Tennessee House of Representatives, District 29 District 29",
,VOTE FOR 1,,VOTE FOR 1,,,VOTE FOR 1,,VOTE FOR 1,
,31 of 31 Precincts Reporting,,33 of 33 Precincts Reporting,,,27 of 27 Precincts Reporting,,21 of 21 Precincts Reporting,
,Greg Martin,Write-in Totals,Tony Hullender,Michele Reneau,Write-in Totals,No Candidate Qualified,Write-in Totals,Greg Vital,Write-in Totals
FLAT TOP MOUNTAIN,,,94,90,1,,,,
GANNS,901,18,,,,,,,
GLENWOOD,,,,,,0,5,,
HARRISON,380,3,,,,0,18,,
HARRISON BAY,,,,,,,,847,3
HIXSON,319,5,0,0,0,,,,
HUNTER,,,,,,,,705,8
KINGSPOINT,,,,,,0,14,,
LAKE HILLS,,,,,,0,6,,
LAKESITE,282,10,,,,,,,
LOOKOUT MOUNTAIN,,,250,238,0,,,,
LOOKOUT VALLEY,,,475,703,1,,,,
LUPTON CITY,232,5,27,42,2,,,,
MEADOWVIEW,,,,,,,,602,2
MIDDLE VALLEY,365,8,,,,,,,
MOUNTAIN CREEK A,,,286,346,4,,,,
MOUNTAIN CREEK B,,,91,95,1,,,,
MOUNTAIN CREEK C,,,8,5,1,0,0,,
MOWBRAY A,,,36,85,1,,,,
MOWBRAY B,,,85,136,0,,,,
MURRAY HILLS,,,,,,0,7,,
NORTH CHATTANOOGA A,,,21,27,1,0,13,,
NORTH CHATTANOOGA B,,,,,,0,12,,
NORTHGATE,435,9,,,,,,,
NORTHSHORE,293,10,36,34,2,0,0,,
NORTHWOODS,,,196,393,1,,,,
,"REP Tennessee House of Representatives, District 26 District 26",,"REP Tennessee House of Representatives, District 27 District 27",,,"REP Tennessee House of Representatives, District 28 District 28",,"REP Tennessee House of Representatives, District 29 District 29",
,VOTE FOR 1,,VOTE FOR 1,,,VOTE FOR 1,,VOTE FOR 1,
,31 of 31 Precincts Reporting,,33 of 33 Precincts Reporting,,,27 of 27 Precincts Reporting,,21 of 21 Precincts Reporting,
,Greg Martin,Write-in Totals,Tony Hullender,Michele Reneau,Write-in Totals,No Candidate Qualified,Write-in Totals,Greg Vital,Write-in Totals
OOLTEWAH,,,,,,,,761,6
OOLTEWAH GEORGETOWN,,,,,,,,456,1
OOLTEWAH RINGGOLD,,,,,,,,545,9
PLEASANT GROVE A,670,12,0,0,0,,,,
PLEASANT GROVE B,42,0,,,,,,,
POSSUM CREEK,839,13,6,26,0,,,,
RED BANK A,0,0,174,172,2,,,,
RED BANK B,,,156,288,2,,,,
RED BANK C,0,0,116,205,1,,,,
RIDGEDALE,,,,,,0,15,,
RIVERVIEW,214,13,,,,,,,
SALE CREEK,456,6,33,51,0,,,,
SAVANNAH BAY,,,,,,,,629,5
SEQUOYAH,552,6,0,2,0,,,,
SIGNAL MOUNTAIN A,,,339,299,0,,,,
SIGNAL MOUNTAIN B,,,543,562,8,,,,
SILVERDALE,,,,,,,,149,5
SODDY DAISY A,0,0,287,442,1,,,,
SODDY DAISY B,10,0,237,359,0,,,,
SODDY DAISY C,15,1,190,245,1,,,,
ST ELMO,,,67,150,0,0,5,,
STUART HEIGHTS,455,11,0,0,0,,,,
SUMMIT,,,,,,,,358,2
TYNER,,,,,,,,269,3
VALLEYBROOK,"1,027",21,,,,,,,
WALDEN,,,201,273,4,,,,
,"REP Tennessee House of Representatives, District 26 District 26",,"REP Tennessee House of Representatives, District 27 District 27",,,"REP Tennessee House of Representatives, District 28 District 28",,"REP Tennessee House of Representatives, District 29 District 29",
,VOTE FOR 1,,VOTE FOR 1,,,VOTE FOR 1,,VOTE FOR 1,
,31 of 31 Precincts Reporting,,33 of 33 Precincts Reporting,,,27 of 27 Precincts Reporting,,21 of 21 Precincts Reporting,
,Greg Martin,Write-in Totals,Tony Hullender,Michele Reneau,Write-in Totals,No Candidate Qualified,Write-in Totals,Greg Vital,Write-in Totals
WOLFTEVER,17,0,,,,,,619,10
WOODMORE,,,,,,0,1,,
Totals,"8,821",176,"4,313","6,030",35,0,144,"7,459",65
,"REP Tennessee House of Representatives, District 30 District 30",,"REP State Executive Committeeman, District 10 District 10",,"REP State Executive Committeeman, District 11 District 11",,,"REP State Executive Committeewoman, District 10 District 10",
,VOTE FOR 1,,VOTE FOR 1,,VOTE FOR 1,,,VOTE FOR 1,
,25 of 25 Precincts Reporting,,35 of 35 Precincts Reporting,,57 of 57 Precincts Reporting,,,35 of 35 Precincts Reporting,
,Esther Helton Haynes,Write-in Totals,Kenneth J (Ken) Meyer,Write-in Totals,Derek Greene,David G. Queen,Write-in Totals,Emily Goldberg,Write-in Totals
AIRPORT A,,,,,12,5,0,,
AIRPORT B,,,109,0,,,,98,2
ALTON PARK,8,1,24,1,,,,24,0
APISON A,346,13,348,3,,,,328,3
APISON B,217,9,317,2,,,,307,5
AVONDALE,,,,,3,3,1,,
BIRCHWOOD,,,,,294,132,3,,
BONNY OAKS,,,,,40,25,0,,
BRAINERD,189,5,190,3,,,,175,3
BRAINERD HILLS,62,0,133,1,,,,127,1
BUSHTOWN,,,,,22,11,3,,
COLLEGEDALE A,,,,,101,73,0,,
COLLEGEDALE B,,,219,0,,,,212,0
CONCORD A,142,1,136,4,,,,134,3
CONCORD B,132,5,304,4,,,,305,2
COURTHOUSE,,,38,0,,,,37,0
DALEWOOD,0,0,,,21,5,0,,
DALLAS,,,,,406,284,1,,
DOWNTOWN,,,123,1,,,,115,2
DUPONT,,,,,187,274,8,,
EAST BRAINERD A,425,11,416,6,,,,412,7
EAST BRAINERD B,424,6,586,5,,,,568,7
EAST CHATTANOOGA,,,,,16,12,0,,
