Custom Table Report,,,,,,,UNOFFICIAL RESULTS
State & Federal Primary and County General,,,,,,,
"August 6, 2026",,,,,,,Hamilton
,,STATISTICS,,,,,
,,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Republican,Ballots Cast - Democratic,Ballots Cast - General,
,AIRPORT A,446,43,11,32,0,
,AIRPORT B,"1,290",175,75,99,1,
,ALTON PARK,"1,917",184,15,161,8,
,APISON A,"1,887",222,183,35,4,
,APISON B,"2,630",308,217,84,7,
,AVONDALE,"1,265",122,6,114,2,
,BIRCHWOOD,"2,195",228,183,41,4,
,BONNY OAKS,"2,266",327,37,285,5,
,BRAINERD,"1,972",305,93,205,7,
,BRAINERD HILLS,"1,908",155,48,106,1,
,BUSHTOWN,"2,127",284,27,253,4,
,COLLEGEDALE A,"2,016",203,121,80,2,
,COLLEGEDALE B,"1,042",251,199,51,1,
,CONCORD A,"1,737",166,63,98,5,
,CONCORD B,"3,048",369,182,179,8,
,COURTHOUSE,"1,428",111,21,89,1,
,DALEWOOD,"2,108",381,21,355,5,
,DALLAS,"3,647",529,380,140,9,
,DOWNTOWN,"2,568",241,85,146,10,
,DUPONT,"2,929",521,315,196,10,
,EAST BRAINERD A,"3,242",383,198,181,4,
,EAST BRAINERD B,"4,612",629,367,248,14,
,EAST CHATTANOOGA,"1,699",261,21,232,8,
,EAST LAKE,"1,395",86,23,61,2,
,EAST RIDGE A,"3,261",400,196,197,7,
,EAST RIDGE B,"3,370",432,178,252,2,
,EAST RIDGE C,"1,476",128,46,80,2,
,EAST RIDGE D,"2,888",252,138,113,1,
,EASTGATE,"1,975",336,35,294,7,
,EASTSIDE,"2,700",335,61,264,10,
,FAIRMOUNT,"2,817",314,228,79,7,
,FALLING WATER A,508,77,58,18,1,
,STATISTICS,,,,
,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Republican,Ballots Cast - Democratic,Ballots Cast - General
FALLING WATER B,984,143,97,46,0
FLAT TOP MOUNTAIN,496,76,62,13,1
GANNS,"3,650",726,523,188,15
GLENWOOD,"1,816",321,55,263,3
HARRISON,"3,475",578,329,239,10
HARRISON BAY,"4,171",709,532,162,15
HIXSON,"2,049",457,242,204,11
HUNTER,"4,112",643,457,180,6
HURRICANE CREEK,"4,493",700,443,240,17
KINGSPOINT,"1,822",252,49,201,2
LAKE HILLS,"1,468",196,22,169,5
LAKESITE,"1,372",124,91,26,7
LOOKOUT MOUNTAIN,"1,528",155,113,40,2
LOOKOUT VALLEY,"4,232",542,354,169,19
LUPTON CITY,"2,608",385,154,217,14
MEADOWVIEW,"3,041",441,364,71,6
MIDDLE VALLEY,"2,052",229,145,80,4
MISSIONARY RIDGE,"1,427",205,72,126,7
MOUNTAIN CREEK A,"3,557",597,311,268,18
MOUNTAIN CREEK B,"1,388",199,97,99,3
MOUNTAIN CREEK C,184,20,8,12,0
MOWBRAY A,515,32,24,8,0
MOWBRAY B,679,108,89,19,0
MURRAY HILLS,"1,741",248,72,171,5
NORTH CHATTANOOGA A,"1,734",201,60,134,7
NORTH CHATTANOOGA B,"1,159",129,50,73,6
NORTHGATE,"2,942",467,278,175,14
NORTHSHORE,"3,087",636,223,394,19
NORTHWOODS,"3,617",642,314,308,20
OOLTEWAH,"4,939",618,450,161,7
OOLTEWAH GEORGETOWN,"2,429",310,250,51,9
OOLTEWAH RINGGOLD,"5,265",751,523,213,15
,STATISTICS,,,,
,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Republican,Ballots Cast - Democratic,Ballots Cast - General
PLEASANT GROVE A,"3,305",540,352,172,16
PLEASANT GROVE B,256,36,15,20,1
POSSUM CREEK,"3,406",630,512,116,2
RED BANK A,"3,123",416,130,268,18
RED BANK B,"2,405",366,198,155,13
RED BANK C,"1,850",303,135,164,4
RIDGEDALE,"2,127",301,33,256,12
RIDGESIDE,360,27,14,12,1
RIVERVIEW,"1,911",307,107,197,3
SALE CREEK,"2,329",291,226,60,5
SAVANNAH BAY,"3,177",474,355,114,5
SEQUOYAH,"2,590",386,304,73,9
SIGNAL MOUNTAIN A,"2,316",393,275,103,15
SIGNAL MOUNTAIN B,"4,298",663,442,208,13
SILVERDALE,"1,410",162,87,74,1
SODDY DAISY A,"3,095",512,410,95,7
SODDY DAISY B,"2,913",441,339,96,6
SODDY DAISY C,"1,581",359,288,59,12
ST ELMO,"2,578",379,93,273,13
STUART HEIGHTS,"3,066",527,242,276,9
SUMMIT,"3,290",448,233,208,7
TYNER,"2,253",319,140,178,1
VALLEYBROOK,"4,483","1,037",699,310,28
WALDEN,"1,596",164,140,22,2
WESTVIEW A,"1,568",200,129,70,1
WESTVIEW B,"2,991",431,279,147,5
WOLFTEVER,"4,474",714,403,296,15
WOODMORE,"1,615",370,18,349,3
Collegedale Property Rights,0,0,0,0,0
Totals,"218,767","31,794","17,282","13,859",653
,REP Governor,,,,REP United States Senate,,"REP United States House of Representatives, District 3",,"REP Tennessee Senate, District 11 District 11",
,VOTE FOR 1,,,,VOTE FOR 1,,VOTE FOR 1,,VOTE FOR 1,
,0 of 93 Precincts Reporting,,,,0 of 93 Precincts Reporting,,0 of 93 Precincts Reporting,,0 of 57 Precincts Reporting,
,Marsha Blackburn,Monty Fritts,John Rose,Write-in Totals,Bill Hagerty,Write-in Totals,Chuck Fleischmann,Write-in Totals,Bo Watson,Write-in Totals
AIRPORT A,8,2,1,0,11,0,10,1,11,0
AIRPORT B,40,18,16,1,69,2,68,3,,
ALTON PARK,8,3,3,0,12,1,11,1,,
APISON A,88,42,51,2,167,3,169,5,,
APISON B,105,48,62,1,201,2,194,8,,
AVONDALE,1,2,2,1,6,0,6,0,6,0
BIRCHWOOD,99,31,53,0,174,2,170,2,175,1
BONNY OAKS,24,8,5,0,34,1,33,2,32,2
BRAINERD,42,20,30,1,78,4,75,8,,
BRAINERD HILLS,18,12,18,0,44,0,44,0,,
BUSHTOWN,12,7,7,0,21,3,20,3,21,2
COLLEGEDALE A,63,22,34,2,109,3,107,4,107,1
COLLEGEDALE B,104,25,65,1,183,0,179,3,,
CONCORD A,34,12,14,2,57,4,55,3,,
CONCORD B,79,27,71,1,167,2,161,5,,
COURTHOUSE,11,2,7,0,20,0,17,0,,
DALEWOOD,8,4,8,0,15,1,15,2,15,0
DALLAS,188,99,92,0,356,2,347,6,359,1
DOWNTOWN,32,12,40,0,74,2,74,2,,
DUPONT,138,53,115,5,271,8,263,8,275,6
EAST BRAINERD A,96,34,67,1,176,10,171,11,,
EAST BRAINERD B,205,39,114,2,334,3,325,9,,
EAST CHATTANOOGA,7,4,9,0,19,0,17,0,19,0
EAST LAKE,15,1,7,0,21,0,21,0,,
EAST RIDGE A,96,27,70,1,177,6,170,10,,
EAST RIDGE B,82,25,67,4,171,4,162,13,,
EAST RIDGE C,26,6,12,2,43,0,39,1,,
,REP Governor,,,,REP United States Senate,,"REP United States House of Representatives, District 3",,"REP Tennessee Senate, District 11 District 11",
,VOTE FOR 1,,,,VOTE FOR 1,,VOTE FOR 1,,VOTE FOR 1,
,0 of 93 Precincts Reporting,,,,0 of 93 Precincts Reporting,,0 of 93 Precincts Reporting,,0 of 57 Precincts Reporting,
,Marsha Blackburn,Monty Fritts,John Rose,Write-in Totals,Bill Hagerty,Write-in Totals,Chuck Fleischmann,Write-in Totals,Bo Watson,Write-in Totals
EAST RIDGE D,61,23,54,0,121,5,119,8,,
EASTGATE,16,6,13,0,31,2,29,2,,
EASTSIDE,24,9,25,2,53,4,46,6,,
FAIRMOUNT,109,48,62,3,206,4,197,9,203,6
FALLING WATER A,21,13,24,0,49,1,47,2,48,2
FALLING WATER B,40,23,34,0,85,1,82,3,83,1
FLAT TOP MOUNTAIN,20,20,22,0,50,1,51,0,53,0
GANNS,278,86,148,6,487,10,461,21,482,7
GLENWOOD,29,9,12,2,38,4,40,2,40,2
HARRISON,169,38,115,3,306,5,291,10,301,4
