Custom Table Report,,,,,,,UNOFFICIAL RESULTS
2026-08-06 State Primary & County General,,,,,,,
"August 6, 2026",,,,,,,Hamilton
,,STATISTICS,,,,,
,,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Republican,Ballots Cast - Democratic,Ballots Cast - General,
,AIRPORT A,446,0,0,0,0,
,AIRPORT B,"1,290",0,0,0,0,
,ALTON PARK,"1,917",0,0,0,0,
,APISON A,"1,887",0,0,0,0,
,APISON B,"2,630",0,0,0,0,
,AVONDALE,"1,265",0,0,0,0,
,BIRCHWOOD,"2,195",0,0,0,0,
,BONNY OAKS,"2,266",0,0,0,0,
,BRAINERD,"1,972",0,0,0,0,
,BRAINERD HILLS,"1,908",0,0,0,0,
,BUSHTOWN,"2,127",0,0,0,0,
,COLLEGEDALE A,"2,016",0,0,0,0,
,COLLEGEDALE B,"1,042",0,0,0,0,
,CONCORD A,"1,737",0,0,0,0,
,CONCORD B,"3,048",0,0,0,0,
,COURTHOUSE,"1,428",0,0,0,0,
,DALEWOOD,"2,108",0,0,0,0,
,DALLAS,"3,647",0,0,0,0,
,DOWNTOWN,"2,568",0,0,0,0,
,DUPONT,"2,929",0,0,0,0,
,EAST BRAINERD A,"3,242",0,0,0,0,
,EAST BRAINERD B,"4,612",0,0,0,0,
,EAST CHATTANOOGA,"1,699",0,0,0,0,
,EAST LAKE,"1,395",0,0,0,0,
,EAST RIDGE A,"3,261",0,0,0,0,
,EAST RIDGE B,"3,370",0,0,0,0,
,EAST RIDGE C,"1,476",0,0,0,0,
,EAST RIDGE D,"2,888",0,0,0,0,
,EASTGATE,"1,975",0,0,0,0,
,EASTSIDE,"2,700",0,0,0,0,
,FAIRMOUNT,"2,817",0,0,0,0,
,FALLING WATER A,508,0,0,0,0,
,STATISTICS,,,,
,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Republican,Ballots Cast - Democratic,Ballots Cast - General
FALLING WATER B,984,0,0,0,0
FLAT TOP MOUNTAIN,496,0,0,0,0
GANNS,"3,650",0,0,0,0
GLENWOOD,"1,816",0,0,0,0
HARRISON,"3,475",0,0,0,0
HARRISON BAY,"4,171",0,0,0,0
HIXSON,"2,049",0,0,0,0
HUNTER,"4,112",0,0,0,0
HURRICANE CREEK,"4,493",0,0,0,0
KINGSPOINT,"1,822",0,0,0,0
LAKE HILLS,"1,468",0,0,0,0
LAKESITE,"1,372",0,0,0,0
LOOKOUT MOUNTAIN,"1,528",0,0,0,0
LOOKOUT VALLEY,"4,232",0,0,0,0
LUPTON CITY,"2,608",0,0,0,0
MEADOWVIEW,"3,041",0,0,0,0
MIDDLE VALLEY,"2,052",0,0,0,0
MISSIONARY RIDGE,"1,427",0,0,0,0
MOUNTAIN CREEK A,"3,557",0,0,0,0
MOUNTAIN CREEK B,"1,388",0,0,0,0
MOUNTAIN CREEK C,184,0,0,0,0
MOWBRAY A,515,0,0,0,0
MOWBRAY B,679,0,0,0,0
MURRAY HILLS,"1,741",0,0,0,0
NORTH CHATTANOOGA A,"1,734",0,0,0,0
NORTH CHATTANOOGA B,"1,159",0,0,0,0
NORTHGATE,"2,942",0,0,0,0
NORTHSHORE,"3,087",0,0,0,0
NORTHWOODS,"3,617",0,0,0,0
OOLTEWAH,"4,939",0,0,0,0
OOLTEWAH GEORGETOWN,"2,429",0,0,0,0
OOLTEWAH RINGGOLD,"5,265",0,0,0,0
,STATISTICS,,,,
,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Republican,Ballots Cast - Democratic,Ballots Cast - General
PLEASANT GROVE A,"3,305",0,0,0,0
PLEASANT GROVE B,256,0,0,0,0
POSSUM CREEK,"3,406",0,0,0,0
RED BANK A,"3,123",0,0,0,0
RED BANK B,"2,405",0,0,0,0
RED BANK C,"1,850",0,0,0,0
RIDGEDALE,"2,127",0,0,0,0
RIDGESIDE,360,0,0,0,0
RIVERVIEW,"1,911",0,0,0,0
SALE CREEK,"2,329",0,0,0,0
SAVANNAH BAY,"3,177",0,0,0,0
SEQUOYAH,"2,590",0,0,0,0
SIGNAL MOUNTAIN A,"2,316",0,0,0,0
SIGNAL MOUNTAIN B,"4,298",0,0,0,0
SILVERDALE,"1,410",0,0,0,0
SODDY DAISY A,"3,095",0,0,0,0
SODDY DAISY B,"2,913",0,0,0,0
SODDY DAISY C,"1,581",0,0,0,0
ST ELMO,"2,578",0,0,0,0
STUART HEIGHTS,"3,066",0,0,0,0
SUMMIT,"3,290",0,0,0,0
TYNER,"2,253",0,0,0,0
VALLEYBROOK,"4,483",0,0,0,0
WALDEN,"1,596",0,0,0,0
WESTVIEW A,"1,568",0,0,0,0
WESTVIEW B,"2,991",0,0,0,0
WOLFTEVER,"4,474",0,0,0,0
WOODMORE,"1,615",0,0,0,0
Collegedale Property Rights,0,0,0,0,0
Totals,"218,767",0,0,0,0
,REP Governor,,,,REP United States Senate,,"REP United States House of Representatives, District 3",,"REP Tennessee Senate, District 11 District 11",
,VOTE FOR 1,,,,VOTE FOR 1,,VOTE FOR 1,,VOTE FOR 1,
,0 of 93 Precincts Reporting,,,,0 of 93 Precincts Reporting,,0 of 93 Precincts Reporting,,0 of 57 Precincts Reporting,
,Marsha Blackburn,Monty Fritts,John Rose,Write-in Totals,Bill Hagerty,Write-in Totals,Chuck Fleischmann,Write-in Totals,Bo Watson,Write-in Totals
AIRPORT A,0,0,0,0,0,0,0,0,0,0
AIRPORT B,0,0,0,0,0,0,0,0,,
ALTON PARK,0,0,0,0,0,0,0,0,,
APISON A,0,0,0,0,0,0,0,0,,
APISON B,0,0,0,0,0,0,0,0,,
AVONDALE,0,0,0,0,0,0,0,0,0,0
BIRCHWOOD,0,0,0,0,0,0,0,0,0,0
BONNY OAKS,0,0,0,0,0,0,0,0,0,0
BRAINERD,0,0,0,0,0,0,0,0,,
BRAINERD HILLS,0,0,0,0,0,0,0,0,,
BUSHTOWN,0,0,0,0,0,0,0,0,0,0
COLLEGEDALE A,0,0,0,0,0,0,0,0,0,0
COLLEGEDALE B,0,0,0,0,0,0,0,0,,
CONCORD A,0,0,0,0,0,0,0,0,,
CONCORD B,0,0,0,0,0,0,0,0,,
COURTHOUSE,0,0,0,0,0,0,0,0,,
DALEWOOD,0,0,0,0,0,0,0,0,0,0
DALLAS,0,0,0,0,0,0,0,0,0,0
DOWNTOWN,0,0,0,0,0,0,0,0,,
DUPONT,0,0,0,0,0,0,0,0,0,0
EAST BRAINERD A,0,0,0,0,0,0,0,0,,
EAST BRAINERD B,0,0,0,0,0,0,0,0,,
EAST CHATTANOOGA,0,0,0,0,0,0,0,0,0,0
EAST LAKE,0,0,0,0,0,0,0,0,,
EAST RIDGE A,0,0,0,0,0,0,0,0,,
EAST RIDGE B,0,0,0,0,0,0,0,0,,
EAST RIDGE C,0,0,0,0,0,0,0,0,,
,REP Governor,,,,REP United States Senate,,"REP United States House of Representatives, District 3",,"REP Tennessee Senate, District 11 District 11",
,VOTE FOR 1,,,,VOTE FOR 1,,VOTE FOR 1,,VOTE FOR 1,
,0 of 93 Precincts Reporting,,,,0 of 93 Precincts Reporting,,0 of 93 Precincts Reporting,,0 of 57 Precincts Reporting,
,Marsha Blackburn,Monty Fritts,John Rose,Write-in Totals,Bill Hagerty,Write-in Totals,Chuck Fleischmann,Write-in Totals,Bo Watson,Write-in Totals
EAST RIDGE D,0,0,0,0,0,0,0,0,,
EASTGATE,0,0,0,0,0,0,0,0,,
EASTSIDE,0,0,0,0,0,0,0,0,,
FAIRMOUNT,0,0,0,0,0,0,0,0,0,0
FALLING WATER A,0,0,0,0,0,0,0,0,0,0
FALLING WATER B,0,0,0,0,0,0,0,0,0,0
FLAT TOP MOUNTAIN,0,0,0,0,0,0,0,0,0,0
GANNS,0,0,0,0,0,0,0,0,0,0
GLENWOOD,0,0,0,0,0,0,0,0,0,0
HARRISON,0,0,0,0,0,0,0,0,0,0
